	sample	Lane	name
15	NHL1A_S16	1	NHL1_A
16	NHL1B_S17	1	NHL1_B
0	FD_AH_013_NHL4A	L001	NHL4_A
1	FD_AH_013_NHL4B	L001	NHL4_B
2	FD_AH_014_NHL6A	L002	NHL6_A
3	FD_AH_014_NHL6B	L002	NHL6_B
4	FD_AH_013_NHL14A	L001	NHL14_A
5	FD_AH_014_NHL14B	L002	NHL14_B
6	FD_AH_014_NHL19A	L002	NHL19_A
7	FD_AH_014_NHL19B	L002	NHL19_B
8	FD_AH_014_NHL22A	L002	NHL22_A
9	FD_AH_014_NHL22B	L002	NHL22_B
10	FD_AH_013_NHL23A	L001	NHL23_A
11	FD_AH_014_NHL23B	L002	NHL23_B
12	FD_AH_013_NHL35A	L001	NHL35_A
13	FD_AH_014_NHL35B	L002	NHL35_B
14	FD_AH_014_NHL37A	L002	NHL37_A
15	FD_AH_014_NHL37B	L002	NHL37_B
1	NHL2_A12	1	NHL2_A
2	NHL2_B12	1	NHL2_B
3	NHL3_A12	1	NHL3_A
4	NHL3_B12	1	NHL3_B
5	NHL5_A12	1	NHL5_A
6	NHL5_B12	1	NHL5_B
7	NHL7A_12	1	NHL7_A
8	NHL7B	2	NHL7_B
9	NHL8A_12	1	NHL8_A
10	NHL8B_12	1	NHL8_B
11	NHL9A_12	1	NHL9_A
12	NHL9B_12	1	NHL9_B
13	NHL11_A212	1	NHL11_A2
14	NHL11_B	1	NHL11_B
15	NHL12_A12	1	NHL12_A
16	NHL12_B12	1	NHL12_B
17	NHL13A_12	1	NHL13_A
18	NHL13B	2	NHL13_B
